Sisa Makanan,Kayu/Ranting,Kertas/Karton,Plastik,Logam,Kain,Karet/Kulit,Kaca,Lainnya,postal_code,Provinsi,Kabupaten/Kota,Kelurahan,Kecamatan,Fasilitas_ID,P,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahterkelola (ton/thn),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Bahan baku Sumber Energi
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PAKUNCEN,WIROBRAJAN,222,2,Bank Sampah Unit Mulyo Asri,BSU,A,0.0,0.0,156.0,72.0,728.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GEDONGKIWO,MANTRIJERON,223,2,Bank Sampah Unit Surya Jaya,BSU,A,0.0,0.0,0.0,0.0,1740.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,TEGALPANGGUNG,DANUREJAN,506,2,Bank Sampah Unit Laras Hati,BSU,A,0.0,0.0,0.0,0.0,84.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SURYATMAJAN,DANUREJAN,224,2,Bank Sampah Unit Kusuma Jaya Suryatmajan,BSU,A,0.0,0.0,0.0,0.0,104.1,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,REJOWINANGUN,KOTAGEDE,225,2,Bank Sampah Unit Sidodadi 02 Rejowinangun,BSU,A,0.0,0.0,0.0,0.0,2541.43,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KLITREN,GONDOKUSUMAN,226,2,Bank Sampah Unit Anugerah 11,BSU,A,0.0,0.0,0.0,0.0,1541.25,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SOROSUTAN,UMBULHARJO,227,2,Bank Sampah Unit Berkah Abadi,BSU,A,0.0,0.0,0.0,0.0,1628.8,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,BUMIJO,JETIS,228,2,Bank Sampah Unit Mulia Artha,BSU,A,0.0,0.0,0.0,0.0,1506.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,MUJA MUJU,UMBULHARJO,229,2,Bank Sampah Unit Tanjung Asri 02 Muja Muju,BSU,A,0.0,0.0,25.0,0.0,1359.6,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,NGUPASAN,GONDOMANAN,230,2,Bank Sampah Unit Barokah 03 Ngupasan,BSU,A,0.0,0.0,0.0,0.0,660.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PAKUNCEN,WIROBRAJAN,231,2,Bank Sampah Unit Manshurina,BSU,A,0.0,0.0,60.0,180.0,741.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GEDONGKIWO,MANTRIJERON,232,2,Bank Sampah Unit Suryo Resik Gedongkiwo,BSU,A,0.0,0.0,0.0,0.0,101620.29,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,TEGALPANGGUNG,DANUREJAN,507,2,Bank Sampah Unit Alam Lestari,BSU,A,0.0,0.0,0.0,0.0,480.0,0.0,0.0
